Id,Número De Víctimas,Fecha,Año,Mes,Día,Hora,Cantidad Hora,Lugar Del Hecho,Tipo De Calle,Calle,Cruce,Dirección Normalizada,Comuna,Coordenadas XY (CABA),Pos X,Pos Y,Participantes,Víctima,Acusado,Rol,Sexo,Edad,Barrios,Código Día,Día Semana,Franja Horaria
2016-0001,1,2016-01-01,2016,1,1,2024-01-16 04:00:00,4,Av Piedra Buena Y Av Fernandez De La Cruz,Avenida,Piedra Buena Av.,Si,"Piedra Buena Av. Y Fernandez De La Cruz, F., Gral. Av.",8,Point (98896.78238426 93532.43437792),-58.47533969,-34.68757022,Moto-Auto,Moto,Auto,Conductor,Masculino,19,"Villa Soldati, Villa Riachuelo y Villa Lugano.",4,Viernes,Madrugada
2016-0002,1,2016-01-02,2016,1,2,2024-01-16 01:15:00,1,Av Gral Paz  Y Av De Los Corrales,Gral Paz,"Paz, Gral. Av.",Si,"Paz, Gral. Av. Y De Los Corrales Av.",9,Point (95832.05571093 95505.41641999),-58.50877521,-34.66977709,Auto-Pasajeros,Auto,Pasajeros,Conductor,Masculino,70,"Liniers, Mataderos y Parque Avellaneda.",5,Sábado,Madrugada
2016-0003,1,2016-01-03,2016,1,3,2024-01-16 07:00:00,7,Av Entre Rios 2034,Avenida,Entre Rios Av.,No,Entre Rios Av. 2034,1,Point (106684.29090040 99706.57687843),-58.39040293,-34.63189362,Moto-Auto,Moto,Auto,Conductor,Masculino,30,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución.",6,Domingo,Mañana
2016-0004,1,2016-01-10,2016,1,10,2024-01-16 00:00:00,0,Av Larrazabal Y Gral Villegas Conrado,Avenida,Larrazabal Av.,Si,"Larrazabal Av. Y Villegas, Conrado, Gral.",8,Point (99840.65224780 94269.16534422),-58.46503904,-34.68092974,Moto-Sd,Moto,Sd,Conductor,Masculino,18,"Villa Soldati, Villa Riachuelo y Villa Lugano.",6,Domingo,Madrugada
2016-0005,1,2016-01-21,2016,1,21,2024-01-16 05:20:00,5,Av San Juan Y Presidente Luis Saenz Peña,Avenida,San Juan Av.,Si,"San Juan Av. Y Saenz Peã‘A, Luis, Pres.",1,Point (106980.32827929 100752.16915795),-58.38718297,-34.6224663,Moto-Pasajeros,Moto,Pasajeros,Conductor,Masculino,29,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución.",3,Jueves,Madrugada
2016-0008,1,2016-01-24,2016,1,24,2024-01-16 18:30:00,18,Av 27 De Febrero Y Av Escalada,Avenida,27 De Febrero Av.,Si,27 De Febrero Av. Y Escalada Av.,8,Point (101721.59002217 93844.25656649),-58.44451316,-34.68475866,Moto-Objeto Fijo,Moto,Objeto Fijo,Conductor,Masculino,30,"Villa Soldati, Villa Riachuelo y Villa Lugano.",6,Domingo,Noche
2016-0009,1,2016-01-24,2016,1,24,2024-01-16 19:10:00,19,Nogoya Y Joaquin V. Gonzales,Calle,Nogoya,Si,"Nogoya Y Gonzalez, Joaquin V.",11,Point (96545.87592078 102330.67262199),-58.50095869,-34.6082544,Moto-Auto,Moto,Auto,Pasajero_Acompañante,Masculino,29,"Villa General Mitre, Villa Devoto, Villa del Parque y Villa Santa Rita.",6,Domingo,Noche
2016-0010,1,2016-01-29,2016,1,29,2024-01-16 15:20:00,15,Av General Paz Y Av De Los Corrales,Gral Paz,"Paz, Gral. Av.",Si,"Paz, Gral. Av. Y De Los Corrales Av.",9,Point (95832.05571093 95505.41641999),-58.50877521,-34.66977709,Moto-Auto,Moto,Auto,Conductor,Masculino,18,"Liniers, Mataderos y Parque Avellaneda.",4,Viernes,Tarde
2016-0012,1,2016-02-08,2016,2,8,2024-01-16 01:20:00,1,Av Belgrano Y Bernardo De Irigoyen,Avenida,Belgrano Av.,Si,"Belgrano Av. E Irigoyen, Bernardo De",1,Point (107595.35084333 101797.50052813),-58.38048577,-34.61303893,Moto-Cargas,Moto,Cargas,Conductor,Masculino,22,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución.",0,Lunes,Madrugada
2016-0013,1,2016-02-10,2016,2,10,2024-01-16 11:30:00,11,Av Entre Rios 1366,Avenida,Entre Rios Av.,No,Entre Rios Av. 1366,1,Point (106616.41069662 100496.44662323),-58.39114932,-34.62477387,Peaton-Auto,Peaton,Auto,Peaton,Masculino,16,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución.",2,Miércoles,Mañana
